company,ticker
Gujarat Raffia Industries Limited,GUJRAFFIA.NS
Gulf Oil Lubricants India Limited,GULFOILLUB.NS
GP Petroleums Limited,GULFPETRO.NS
Gulshan Polyols Limited,GULPOLY.NS
GVK Power & Infrastructure Limited,GVKPIL.NS
Hindustan Aeronautics Limited,HAL.NS
Harita Seating Systems Limited,HARITASEAT.NS
"Harrisons� Malayalam
 Limited",HARRMALAYA.NS
Hathway Cable & Datacom Limited,HATHWAY.NS
Hatsun Agro Product Limited,HATSUN.NS
Havells India Limited,HAVELLS.NS
Sri Havisha Hospitality and Infrastructure Limited,HAVISHA.NS
HBL Power Systems Limited,HBLPOWER.NS
HB Stockholdings Limited,HBSL.NS
Hindustan Construction Company Limited,HCC.NS
Healthcare Global Enterprises Limited,HCG.NS
HCL Infosystems Limited,HCL-INSYS.NS
HCL Technologies Limited,HCLTECH.NS
Housing Development Finance Corporation Limited,HDFC.NS
HDFC Asset Management Company Limited,HDFCAMC.NS
HDFC Bank Limited,HDFCBANK.NS
HDFC Life Insurance Company Limited,HDFCLIFE.NS
Housing Development and Infrastructure Limited,HDIL.NS
HEG Limited,HEG.NS
HeidelbergCement India Limited,HEIDELBERG.NS
Hercules Hoists Limited,HERCULES.NS
Heritage Foods Limited,HERITGFOOD.NS
Hero MotoCorp Limited,HEROMOTOCO.NS
Hester Biosciences Limited,HESTERBIO.NS
Hexa Tradex Limited,HEXATRADEX.NS
Hexaware Technologies Limited,HEXAWARE.NS
HFCL Limited,HFCL.NS
H.G. Infra Engineering Limited,HGINFRA.NS
Hinduja Global Solutions Limited,HGS.NS
Hikal Limited,HIKAL.NS
HIL Limited,HIL.NS
Hilton Metal Forging Limited,HILTON.NS
Himatsingka Seide Limited,HIMATSEIDE.NS
Hindalco Industries Limited,HINDALCO.NS
Hindustan Composites Limited,HINDCOMPOS.NS
Hindustan Copper Limited,HINDCOPPER.NS
Hindustan Motors Limited,HINDMOTORS.NS
Hindusthan National Glass & Industries Limited,HINDNATGLS.NS
